start_ts,end_ts,flow,avg_flow,std,pred
2016-01-03 16:03:02,2016-01-03 16:32:32,1723,28.716666666666665,8.90148239839,30.0353317738481
2016-01-03 16:33:02,2016-01-03 17:02:33,1678,27.966666666666665,6.38218005248,29.650452831169858
2016-01-03 17:03:03,2016-01-03 17:32:33,1644,27.4,7.91454357496,28.584236553845468
2016-01-03 17:33:03,2016-01-03 18:02:33,1570,26.166666666666668,7.39181228718,24.9196772437924
2016-01-03 18:03:02,2016-01-03 18:32:33,1606,26.766666666666666,8.06921447368,29.607532834186685
2016-01-03 18:33:03,2016-01-03 19:02:33,1526,25.433333333333334,7.51746115535,20.50024918662615
2016-01-03 19:03:03,2016-01-03 19:32:33,1356,22.6,6.49409988631,23.90593671422577
2016-01-03 19:33:03,2016-01-03 20:02:34,1427,23.783333333333335,7.63782618871,19.768759793912682
2016-01-03 20:03:04,2016-01-03 20:32:34,1339,22.316666666666666,7.54650397351,23.495304835666758
2016-01-03 20:33:03,2016-01-03 21:02:33,1284,21.4,8.31705075933,16.145654358505112
2016-01-03 21:03:03,2016-01-03 21:32:33,999,16.65,6.32936279047,19.37368657346609
2016-01-03 21:33:04,2016-01-03 22:02:33,865,14.416666666666666,6.25377663674,15.462593224560225
2016-01-03 22:03:03,2016-01-03 22:32:33,822,13.7,5.57464498122,15.340275382423759
2016-01-03 22:33:03,2016-01-03 23:02:33,536,8.933333333333334,4.09009644005,10.117213682500978
2016-01-03 23:03:03,2016-01-03 23:32:33,460,7.666666666666667,3.21282153601,9.127997907260488
2016-01-03 23:33:03,2016-01-04 00:02:33,379,6.316666666666666,3.39848822599,6.8335354066242235
2016-01-04 00:03:04,2016-01-04 00:32:34,283,4.716666666666667,2.87571247211,5.507679847561704
2016-01-04 00:33:03,2016-01-04 01:02:33,214,3.566666666666667,2.20126226415,2.667272185199289
2016-01-04 01:03:03,2016-01-04 01:32:33,183,3.05,1.88348082018,1.9414226017524558
2016-01-04 01:33:03,2016-01-04 02:02:33,165,2.75,1.70904456739,2.106225096738872
2016-01-04 02:03:03,2016-01-04 02:32:33,99,1.65,1.54730949285,2.1157875373966104
2016-01-04 02:33:03,2016-01-04 03:02:32,114,1.9,1.31275791117,1.6977238324849921
2016-01-04 03:03:02,2016-01-04 03:32:32,119,1.9833333333333334,1.58631298579,2.8813923640284975
2016-01-04 03:33:02,2016-01-04 04:03:35,135,2.25,1.43323643083,2.69716067077429
2016-01-04 04:04:04,2016-01-04 04:33:33,188,3.1333333333333333,2.17919455049,4.4846092852787764
2016-01-04 04:34:03,2016-01-04 05:03:32,216,3.6,2.16948534604,3.022806856146987
2016-01-04 05:04:02,2016-01-04 05:33:32,470,7.833333333333333,3.79985379836,7.086139721906615
2016-01-04 05:34:02,2016-01-04 06:03:33,670,11.166666666666666,3.64767810471,10.392366310936268
2016-01-04 06:04:03,2016-01-04 06:33:33,1086,18.1,6.7223507793,17.01021396638609
2016-01-04 06:34:02,2016-01-04 07:03:32,1425,23.75,6.4177488265,25.556907915887624
